feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
capital_x_age,199,0.38586714422378054,0.2645536960496132,0.49633491071695784,0.6211820540097569,0.5875800124573949,1.262901181897621e-22,+,1
log_draft_capital,199,0.37624707497325927,0.259950903424093,0.49036983751890945,0.6133898230108316,0.5858816707990729,5.910353827002888e-22,+,3
college_fpg_x_capital,199,0.3522951837161549,0.256735505376469,0.4534156327792618,0.5935445928623686,0.6049146872591235,2.4970357966364395e-20,+,4
draft_premium,118,0.3290263720139007,0.2020389173196159,0.477600263469659,0.5736082042770141,0.6034849902065699,1.1268465829826604e-11,+,7
rec_rate_x_capital,199,0.3286448884573155,0.24804491317628177,0.4281104982698415,0.5732755781099658,0.6000096010168685,8.835752729641932e-19,+,8
capital_x_dominator,199,0.3274639295151955,0.2385183478368755,0.4268320734899918,0.5722446413162778,0.5930873411349418,1.0524118741175727e-18,+,9
combined_ath,199,0.2964168973031937,0.16551707016898215,0.4206991378715193,0.5444418217800628,0.483321744654628,9.413164618185241e-17,+,11
breakout_x_capital,55,0.26599621137764745,0.03463319346558144,0.5074236820866063,0.5157482054041947,0.23012377114945917,5.5807104302014924e-05,+,13
career_yardage,199,0.10315057227992705,0.042647812645927013,0.20467870854722806,0.3211706279844517,0.28770844396206013,3.741373688912574e-06,+,18
log_rec_rate,199,0.06918783462819726,0.02976761125739114,0.12966342280970372,0.26303580484070466,0.21402895367052074,0.00017437225289223849,+,23
log_dominator,199,0.05268857886734362,0.008101085410671643,0.11747005158905599,0.22953992869943918,0.15248669649645072,0.0011089598837594487,+,28
weight_x_speed,157,0.046583300213754515,0.0030914696500927846,0.14399740524598653,0.21583164785025044,0.1991250009129567,0.006631057309321332,+,30
dominator_x_breakout,55,0.028971858708309907,6.755094952415233e-05,0.18137735786039705,0.17021121792734434,0.07410260850049705,0.21408318706574148,+,37
age_x_dominator,199,0.026513241498482203,0.0006195176051104995,0.10943583643823697,0.16282887182094644,0.14371645594633214,0.02156914972451834,+,40
rec_rate_sq,199,0.023820966150100414,0.0001196057754052444,0.1702322016602076,0.15434042292964087,0.21402895367052074,0.029511726322707776,+,45
dominator_x_rate,199,0.01952293872239754,0.00012757466204843865,0.13956496617698883,0.13972451009897133,0.18224558835509078,0.04903284476752649,+,47
dominator_sq,199,0.01261829992040436,3.25044025132096e-05,0.10355452474779636,0.11233120635159385,0.15248669649645072,0.11418755153283615,+,54
age_sq,199,0.007180845409073487,2.0868921343404328e-05,0.03928248155163309,-0.08473986906452881,-0.06482741270183544,0.23404086445997155,-,56
ypr,0,,,,,,,?,72
