feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
log_draft_capital,126,0.38314196107593196,0.2550129679865093,0.5249488313096093,0.6189846210334566,0.6211590204005262,1.1188524971642643e-14,+,1
draft_premium,77,0.3653689058662684,0.22636239817249884,0.5208334361290119,0.6044575302420083,0.6264687748378225,5.845695597846281e-09,+,4
capital_x_age,126,0.3404295029898757,0.22712342448804,0.47708378352919956,0.5834633690214628,0.6194143751371632,7.517836585674491e-13,+,6
rec_rate_x_capital,126,0.32291783170746013,0.19718331001342576,0.46040867417224624,0.5682585958060469,0.5977130532327466,3.913990994364318e-12,+,10
capital_x_dominator,126,0.310367583221699,0.188265890148605,0.43969893252438796,0.5571064379646846,0.5946190091924829,1.2455424611238977e-11,+,11
combined_ath,126,0.2827023090341937,0.1480737280402034,0.42221969094998557,0.5316975729060588,0.5229269854537283,1.4917763818997316e-10,+,12
college_fpg_x_capital,126,0.2601565878886758,0.16604352880520243,0.42134998030514187,0.510055475305065,0.5989379680287453,1.0570469915100015e-09,+,14
rec_rate_sq,126,0.10504234138831052,0.02217665823424192,0.23896654962406963,0.3241023625157807,0.29933333131458845,0.0002137117234139945,+,21
dominator_x_rate,126,0.0938588632292215,0.012455096653291513,0.22466273812543094,0.3063639391789143,0.28147332219661253,0.00048494325264141175,+,26
career_yardage,126,0.09320681203729687,0.010664512265000023,0.21719119602507742,0.3052979070306524,0.34182489255679627,0.0005086058308024514,+,27
breakout_x_capital,37,0.08303915374126633,0.002406118299289797,0.2597129699410532,0.2881651501158083,0.22402349537489882,0.08370521998393865,+,31
dominator_sq,126,0.07622940439177944,0.007404662748690504,0.1872696492009905,0.2760967301359787,0.26264408538231054,0.0017519231196327192,+,32
age_x_dominator,126,0.061304896014137175,0.006031105143674875,0.1673723841525333,0.24759825527280513,0.24987240746237946,0.005186014515441642,+,39
weight_x_speed,95,0.049004866897747495,0.0015581865310852043,0.17101489092288596,0.22137042914027044,0.22148811977006855,0.03109049318010879,+,43
log_rec_rate,126,0.04747760786146788,0.0038256776471959314,0.17544736483243537,0.21789357003240797,0.29933333131458845,0.014246057953884398,+,45
log_dominator,126,0.040553553002032,0.0013568079363904745,0.13374630350056174,0.20137912752326642,0.26264408538231054,0.02374910590382517,+,48
dominator_x_breakout,37,0.03663443130009957,0.000654422909496843,0.18794727529641583,0.19140123118752286,0.22925897681662463,0.2564513079763602,+,49
age_sq,126,0.014174979794984267,0.00011035034150165736,0.08255268961728887,-0.11905872414478608,-0.1806064884457139,0.18423099170028673,-,57
ypr,0,,,,,,,?,80
yprr_x_capital,0,,,,,,,?,81
