feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
breakout_score_x_capital,283,0.3543642785166168,0.24863683204688874,0.4449661670360027,0.5952850397218267,0.5971293192058753,1.595782667150756e-28,+,1
total_yards_rate_x_capital,283,0.3435786532099265,0.25914278227659965,0.4349446693842757,0.5861558267303384,0.6001145116840267,1.6613907713940358e-27,+,2
log_draft_capital,286,0.3301793932033973,0.23948637731781267,0.4221880409098853,0.5746123851809994,0.5804328833072525,1.5798035134698242e-26,+,3
capital_x_age,285,0.284333689452101,0.19816296268250885,0.38260068291863536,0.5332294904186199,0.5716651430680559,2.4352316489371744e-22,+,8
capital_x_dominator,285,0.270302783082169,0.18714160852461323,0.3704731291975455,0.5199065137908632,0.5776939382718659,3.89410163152375e-21,+,9
rec_rate_x_capital,285,0.2691823008922451,0.18150685023149785,0.3718705630627483,0.5188278143008961,0.5728478738120215,4.848169120479811e-21,+,10
deep_yprr_x_capital,183,0.24492571473694294,0.15462558693587483,0.34527455650610916,0.4948997016941341,0.5355369210661708,1.0690930461529589e-12,+,11
college_fpg_x_capital,286,0.2418884193936504,0.16282487045924665,0.3186117652618375,0.49182153205573503,0.5719456870381524,7.953518507685031e-19,+,12
yprr_x_capital,183,0.23744749528149836,0.1375418797649086,0.35208925584482814,0.48728584555833176,0.5266391164847658,2.6473620489886595e-12,+,13
combined_ath,286,0.2332822011553967,0.14116986634548964,0.3421420667944119,0.48299296180730905,0.5154815830159191,4.021140225651994e-18,+,14
deep_target_x_capital,183,0.22315605842291408,0.1132572992813185,0.35025157329747764,0.47239396526936506,0.5271631541286612,1.4638573031464643e-11,+,15
combined_ath_x_capital,286,0.21730590895644833,0.13978287424351965,0.3125009866824161,0.4661608187701411,0.5160639182251362,7.782630425579702e-17,+,16
draft_premium,174,0.17867398139356017,0.08995129818963729,0.30598462419641237,0.42269845208323176,0.477063623951741,6.238025713695505e-09,+,19
breakout_age,247,0.16584005310090658,0.08668268811155123,0.26141510689307706,-0.40723464133212756,-0.4156997801495365,2.764876061614227e-11,-,20
breakout_score_x_dominator,283,0.1465370474869344,0.07322408367623728,0.2293113643453311,0.3828015771740425,0.37433034848859,2.613073055749314e-11,+,21
slot_rate_x_capital,183,0.13931886039952304,0.0687750365209104,0.22628906067816784,0.3732544177896935,0.5049339291724032,1.9503859540304595e-07,+,22
age_sq,285,0.11873002188474716,0.05643629603706628,0.20106794237256842,-0.344572230286695,-0.3369606044413128,2.294266732779017e-09,-,23
best_man_zone_delta,99,0.08374749737369751,0.011663030528760278,0.2219214130167449,-0.289391598657766,-0.2728992358690799,0.0036692711390801857,-,27
man_delta_x_capital,99,0.06011756535997719,0.0013288685753629428,0.18739518337634922,-0.24518883612427625,-0.2418911880597562,0.014442062894736932,-,29
best_slot_yprr,183,0.05528810597043839,0.0039006286262365086,0.144444367048934,0.2351342296868714,0.21091074663035478,0.0013549246303103688,+,30
dominator_x_rate,285,0.04384941854560568,0.008716260211690459,0.10557259582797524,0.20940252755304956,0.22944372746537128,0.00037209339068733566,+,33
log_rec_rate,285,0.04087213801462397,0.00850323274785646,0.09329512072854124,0.20216858810068386,0.22873606998509827,0.0005957962262851147,+,36
dominator_sq,285,0.04000737247622475,0.00630644131949657,0.092242084935214,0.20001843034136818,0.22088034640949453,0.0006831753316728135,+,38
rec_rate_sq,285,0.03805660115492871,0.006547796995101335,0.09668199501566756,0.19508101177441312,0.22873606998509827,0.0009305030015813943,+,41
career_yardage,286,0.03353738579676387,0.005378415001746803,0.08361302099135341,0.18313215391286117,0.20169651838506908,0.0018719904498077568,+,43
best_deep_yprr,183,0.030012969553093034,0.001904260070319046,0.0932156649964592,0.1732425165861228,0.14174182621558154,0.019012557380220965,+,47
log_dominator,285,0.02460521539276515,0.0048883716596726775,0.05973765312894352,0.1568604965973433,0.22088034640949453,0.007980012013835502,+,52
best_man_yprr,99,0.021113827250123233,0.0001395018812327575,0.11985790590389964,-0.14530597802610612,-0.15079286826483002,0.15127487238671417,-,55
age_x_dominator,284,0.017247107982926075,0.0004767053430638189,0.0630842261734694,0.13132824518330424,0.15364270210809144,0.0268965891300671,+,60
weight_x_speed,219,0.014615737653153816,6.203232646201876e-05,0.055795738881177934,0.12089556506817699,0.0835270691645203,0.07419538123389581,+,64
best_zone_yprr,103,0.008039048758328464,0.0001272294787011801,0.10648425334318361,-0.08966074257069515,0.22977864980694163,0.36776507761372884,-,70
ypr,193,0.006261989033778035,4.788654190049164e-05,0.040409803932662795,0.07913273048352391,0.0976447316030953,0.27398919065719934,+,74
best_deep_target_rate,183,0.0010256293156536633,9.12981249686041e-06,0.02753358611426351,-0.03202544793837649,0.02405978840400158,0.666923549166601,-,93
best_behind_los_rate,183,0.0007690249808197228,8.458502457912768e-06,0.04360266813597595,0.02773129965976573,-0.007504162421507832,0.7094140028666975,+,96
best_screen_rate,183,0.00027339539662102856,7.747768485636594e-06,0.0294874288637995,0.016534672558627478,0.005429525952202939,0.8241897817863916,+,99
best_slot_target_rate,183,1.7917885789404135e-05,4.958451019402503e-06,0.02139351352800237,0.004232952372683177,0.12797615266066448,0.9546485918977786,+,100
