feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
capital_x_age,199,0.38586714422378054,0.26676965574818523,0.4856301641074726,0.6211820540097569,0.5875800124573949,1.262901181897621e-22,+,1
draft_capital_score,199,0.38487593420307026,0.2660813313395895,0.49408990115081647,0.6203836991758167,0.5858816707990729,1.482183203274409e-22,+,2
log_draft_capital,199,0.37624707497325927,0.25557990180226153,0.4980461130452631,0.6133898230108316,0.5858816707990729,5.910353827002888e-22,+,3
college_fpg_x_capital,199,0.3522951837161549,0.24805613564861592,0.4542022790725667,0.5935445928623686,0.6049146872591235,2.4970357966364395e-20,+,4
overall_pick,199,0.3511479556472691,0.23749540968605654,0.4802427845778162,-0.5925773836785109,-0.5868827572895446,2.977254357362583e-20,-,5
draft_round,199,0.33714186952578246,0.22381195292107828,0.4481741364585291,-0.580639190483886,-0.5740198649895271,2.4887804144623474e-19,-,6
draft_premium,118,0.3290263720139007,0.19118670488982578,0.46368848432244997,0.5736082042770141,0.6034849902065699,1.1268465829826604e-11,+,7
rec_rate_x_capital,199,0.3286448884573155,0.23783445637870385,0.41745719585217167,0.5732755781099658,0.6000096010168685,8.835752729641932e-19,+,8
capital_x_dominator,199,0.3274639295151955,0.24135970633617101,0.426991501737825,0.5722446413162778,0.5930873411349418,1.0524118741175727e-18,+,9
consensus_rank,118,0.30883860388706486,0.1777747768633277,0.4425972747947125,-0.555732493099931,-0.6063160519541054,6.480882587947294e-11,-,10
combined_ath,199,0.2964168973031937,0.1761664258026881,0.41790277387244246,0.5444418217800628,0.483321744654628,9.413164618185241e-17,+,11
position_rank,118,0.2830374175929688,0.16957266605576615,0.4115271912867518,-0.5320126103702513,-0.6132945231144699,5.659435615104191e-10,-,12
breakout_x_capital,55,0.26599621137764745,0.03857558405001743,0.49722052503100994,0.5157482054041947,0.23012377114945917,5.5807104302014924e-05,+,13
college_fantasy_ppg,199,0.12904605578746212,0.0590265541257031,0.2258176035303602,0.3592298091576785,0.3439298990692988,1.8821285535762218e-07,+,14
best_sp_plus,199,0.1138414513093698,0.03979065690366435,0.20225656110714746,0.3374039882831408,0.3330864484830716,1.0972064829983436e-06,+,15
career_total_tds,199,0.11343177572810714,0.0521779953714231,0.19969160276861678,0.33679634161924493,0.34339003864723033,1.150229417606904e-06,+,16
career_rush_tds,199,0.11207480395483015,0.046779405954662324,0.2052577355338219,0.33477575174261076,0.3527531094649512,1.3447025578567557e-06,+,17
career_yardage,199,0.10315057227992705,0.041256419487033555,0.1964237264670813,0.3211706279844517,0.28770844396206013,3.741373688912574e-06,+,18
best_rush_tds,199,0.09736017740371951,0.03691496187818764,0.2022070475945163,0.3120259242494436,0.323033638288838,7.241620558327829e-06,+,19
career_rush_yards,199,0.09535240329421038,0.03810859685222153,0.18779405170516245,0.30879184460443637,0.29155057591380606,9.099529551795122e-06,+,20
best_usage_pass,130,0.09103877835427335,0.01386865198057869,0.22753954713841762,0.30172633023034856,0.29183704273354993,0.0004854579672559684,+,21
best_usage,130,0.07547609003803592,0.008466610494149823,0.18376200162804723,0.2747291212049351,0.250314882983567,0.0015602509996490317,+,22
log_rec_rate,199,0.06918783462819726,0.026307161173557355,0.1305984186204817,0.26303580484070466,0.21402895367052074,0.00017437225289223849,+,23
career_rush_attempts,199,0.05911596967989226,0.010575987901390346,0.1351030900677347,0.24313775864701118,0.24595323602062713,0.0005394809175052946,+,24
best_ppa_pass,130,0.058932138295962895,0.010703990830743864,0.14417014073559364,0.24275942473148782,0.22359004209143485,0.00538743917880032,+,25
best_rec_rate,199,0.05579997740522142,0.003731232565051248,0.14826951910447667,0.236220188394687,0.21402895367052074,0.0007823425763234831,+,26
best_ppa_overall,130,0.05511779340797464,0.0075671049201443625,0.131443988514638,0.23477179005999557,0.33313248675016405,0.00717430244450672,+,27
log_dominator,199,0.05268857886734362,0.008959189860094115,0.1164306386205534,0.22953992869943918,0.15248669649645072,0.0011089598837594487,+,28
best_rec_yards,198,0.05249042836808944,0.007138791754464707,0.12771998320358988,0.22910789678247548,0.19051581698539874,0.0011674439546901121,+,29
weight_x_speed,157,0.046583300213754515,0.0025046413112390937,0.1343693317710429,0.21583164785025044,0.1991250009129567,0.006631057309321332,+,30
weight_lbs,165,0.04251306463409863,0.0022169342582854267,0.12100527958701801,0.20618696523810284,0.19195604980477424,0.007884017069907589,+,31
teammate_score,199,0.03738851339687725,0.00439380111387511,0.10261628856293849,0.19336109587214603,0.2378044795074407,0.006211861776213677,+,32
best_receptions,198,0.03719808393177562,0.0038263990729575505,0.09704267926971473,0.1928680479804149,0.1546217513871849,0.006482568325619753,+,33
best_usage_rush,130,0.03595049743498298,0.0010766000379349692,0.13557812383279488,0.18960616402159233,0.18002124474370648,0.03072606749644756,+,34
best_reception_share,199,0.03337022175215609,0.0018600334808621267,0.10675474728270941,0.18267518099664248,0.15103151192738443,0.009809193543422134,+,35
best_dominator,199,0.029782295154033477,0.0006420867943399312,0.10679289208762695,0.172575476687835,0.15248669649645072,0.014790991291803654,+,36
dominator_x_breakout,55,0.028971858708309907,4.051288742085516e-05,0.19972739109994359,0.17021121792734434,0.07410260850049705,0.21408318706574148,+,37
best_ppa_rush,130,0.028342919457819048,0.0005396156508747169,0.09341827346701169,0.16835355493074403,0.22332454952892714,0.05553379935956147,+,38
best_rush_ypc,198,0.027179467430332557,0.0010732261265333004,0.10412497654025858,0.16486196477760587,0.22343673306652917,0.02028521567653261,+,39
age_x_dominator,199,0.026513241498482203,0.0003011612418601658,0.09609340944246109,0.16282887182094644,0.14371645594633214,0.02156914972451834,+,40
career_rec_yards,199,0.026380724124398097,0.0014014274584056607,0.0921509125891137,0.16242143985446655,0.16685448863969007,0.02190314720284249,+,41
early_declare,199,0.02474403455675092,0.0006059160671509472,0.0762973882131566,0.15730236665972613,0.14625781046301226,0.026495153289665677,+,42
