feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
log_draft_capital,126,0.38314196107593196,0.25177284124522953,0.524602904891422,0.6189846210334566,0.6211590204005262,1.1188524971642643e-14,+,1
overall_pick,126,0.3759848413462892,0.244013287083986,0.49348994093214765,-0.6131760280264462,-0.6201496847352935,2.3084514756198188e-14,-,2
draft_round,126,0.36780438269833754,0.22133804015257047,0.5269724257231677,-0.6064687813056312,-0.6112561127824742,5.2311717652149184e-14,-,3
draft_premium,77,0.3653689058662684,0.2188004843641827,0.5157003861202566,0.6044575302420083,0.6264687748378225,5.845695597846281e-09,+,4
consensus_rank,77,0.3478023295046325,0.21353398567207874,0.48406946527762573,-0.5897476829158658,-0.6288111643790986,1.6653430859611878e-08,-,5
capital_x_age,126,0.3404295029898757,0.22508557221862383,0.4796918540187188,0.5834633690214628,0.6194143751371632,7.517836585674491e-13,+,6
position_rank,77,0.3389968738432067,0.2139516120888359,0.4907369598719822,-0.582234380506001,-0.6325611572006428,2.786791438000892e-08,-,7
draft_capital_score,126,0.3359800115680115,0.21741617707044214,0.47364518824239205,0.5796378279305203,0.6211590204005262,1.1477852794263551e-12,+,8
rec_rate_x_capital,126,0.32291783170746013,0.20046743898417255,0.4554012589220654,0.5682585958060469,0.5977130532327466,3.913990994364318e-12,+,9
capital_x_dominator,126,0.310367583221699,0.19105515072924623,0.44807944748047823,0.5571064379646846,0.5946190091924829,1.2455424611238977e-11,+,10
combined_ath,126,0.2827023090341937,0.1509821846178805,0.42407577530837226,0.5316975729060588,0.5229269854537283,1.4917763818997316e-10,+,11
recruit_rating,8,0.2625677610216195,0.04693432716687695,0.6588433902319557,-0.5124136620169485,-0.5509080804800991,0.19415599298547903,-,12
college_fpg_x_capital,126,0.2601565878886758,0.15728658926758513,0.41857196147288617,0.510055475305065,0.5989379680287453,1.0570469915100015e-09,+,13
best_ppa_rush,37,0.2294540265848236,0.01747315199493087,0.4924555726905644,0.47901359749470956,0.255112323369135,0.002705117288041643,+,14
recruit_stars,8,0.18700633238211345,0.00549838508828411,0.83538773094866,-0.4324422879207276,-0.4268827891384831,0.28458635598433124,-,15
forty_time,95,0.13984636019643282,0.02633859225613347,0.3120667513139779,-0.3739603724947776,-0.35716676226784333,0.0001891669646599127,-,16
best_rush_ypc,26,0.13416805238377785,0.0001300284748593454,0.43894953317154245,0.3662895744950678,-0.04800280015357925,0.06570668543882939,+,17
shuttle,76,0.12452625044779943,0.014041785514932584,0.27832488186349186,-0.35288277153723363,-0.2865004151203459,0.0017682992184412138,-,18
rec_rate_sq,126,0.10504234138831052,0.026020571627487533,0.23954608062057514,0.3241023625157807,0.29933333131458845,0.0002137117234139945,+,19
three_cone,74,0.10225158993953407,0.00937370084117084,0.26602890838808396,-0.3197680251987901,-0.31462435031205993,0.005482303078976462,-,20
speed_score,95,0.09984889416459504,0.015242792291337865,0.27691529482795285,0.3159887563895194,0.3229868970982073,0.0018119359463204105,+,21
career_rec_yards,126,0.09746266334290643,0.016041287851289075,0.22968480688937265,0.3121901076954656,0.3420955598397964,0.0003725891494519915,+,22
best_rec_rate,126,0.09417416114707405,0.01325640119365989,0.22510977389114278,0.3068780884114636,0.29933333131458845,0.0004738970997651308,+,23
dominator_x_rate,126,0.0938588632292215,0.01948679146160222,0.2131963244416608,0.3063639391789143,0.28147332219661253,0.00048494325264141175,+,24
career_yardage,126,0.09320681203729687,0.016890307449750744,0.24249710077248232,0.3052979070306524,0.34182489255679627,0.0005086058308024514,+,25
best_yards_per_touch,26,0.09124591347772305,0.00024114223658326466,0.5008842702610764,0.3020693852043319,0.0715018983659407,0.13366733028341649,+,26
best_rec_yards,126,0.08754799518576493,0.010862849703641509,0.21837534002567124,0.2958851047041147,0.28445906786955005,0.000768633076723081,+,27
best_usage_pass,92,0.08674743961341493,0.004935294723677651,0.22277282938818022,0.29452918295716457,0.27197073432594554,0.004373246476795347,+,28
breakout_x_capital,37,0.08303915374126633,0.0029056967433892964,0.2713804504971622,0.2881651501158083,0.22402349537489882,0.08370521998393865,+,29
dominator_sq,126,0.07622940439177944,0.007242434544868584,0.19180962183958825,0.2760967301359787,0.26264408538231054,0.0017519231196327192,+,30
best_dominator,126,0.07056502652692437,0.010553467317678918,0.17007481486763043,0.26564078475814734,0.26264408538231054,0.002644488296134539,+,31
college_fantasy_ppg,126,0.0705040498558484,0.01088981173547583,0.16443889579601573,0.2655259871572807,0.29828232259849446,0.0026562355706636794,+,32
career_receptions,126,0.0693484499633366,0.005990732896691216,0.19704808678112337,0.2633409386391273,0.3032292672213664,0.0028890028488249664,+,33
broad_jump,77,0.0693283656215812,0.0009182690232057318,0.21935684818750473,0.2633028021529228,0.2686661154956207,0.02068583317997524,+,34
weight_lbs,106,0.06865901961879499,0.003571538431033662,0.1756400082534654,-0.2620286618268982,-0.17816341946040182,0.006660802959859831,-,35
best_usage,92,0.06454388070518981,0.003031004943046834,0.1918299383105038,0.2540548773497368,0.2616138400163241,0.014536338196943778,+,36
