feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
log_draft_capital,284,0.32834393219479463,0.2525894266436748,0.41558637957989125,0.5730130296902459,0.5784222524909585,3.490685876033823e-26,+,1
overall_pick,284,0.3147050821962298,0.22832110382136653,0.39257830265863514,-0.5609858128297273,-0.5788939632467801,6.066507925451812e-25,-,2
draft_round,284,0.31105814746096444,0.23383213663098432,0.39008516067408133,-0.5577258712494557,-0.5676364884700666,1.2895199213735632e-24,-,3
draft_capital_score,284,0.29497681738842374,0.205450354016193,0.38568880129618016,0.543117682816923,0.5784222524909585,3.424790323169209e-23,+,4
breakout_x_capital,247,0.2908419421784404,0.19667989792096063,0.3844044345927148,0.539297637838736,0.524686088681217,4.86318593876981e-20,+,5
capital_x_age,284,0.2856576411862214,0.19396154431075552,0.39340346617655625,0.5344694950941741,0.5714097427598018,2.2159833884900254e-22,+,6
rec_rate_x_capital,284,0.2792313013301965,0.19198809140013723,0.3902885569463619,0.5284234110353141,0.5762696972929882,7.921562319374173e-22,+,7
capital_x_dominator,284,0.2714845728598224,0.18959839579652135,0.3740265998389808,0.5210418148861207,0.5765948861465859,3.625855587977521e-21,+,8
college_fpg_x_capital,284,0.24556753000584686,0.1593096978682056,0.33981287176260594,0.4955477070937236,0.5714503668597649,5.263071074500856e-19,+,9
combined_ath,284,0.24019342900510257,0.1495060743548784,0.33125685641094155,0.4900953264469093,0.5227652451942678,1.447334113950746e-18,+,10
draft_premium,172,0.1738816065042857,0.07490566570366453,0.2851668403251293,0.4169911348029904,0.4712721477448188,1.2684515983708478e-08,+,11
breakout_age,247,0.16888146358225473,0.08893815016696756,0.252482170787113,-0.41095189935350673,-0.4205412653648079,1.7521609711009806e-11,-,12
dominator_x_breakout,247,0.16557827657425694,0.08923251917389852,0.25598155145020624,0.40691310690890375,0.3974050305620258,2.875387578701066e-11,+,13
position_rank,172,0.1103215653943863,0.022068499333466617,0.27329867608886993,-0.33214690333403124,-0.46695107989240725,8.533777624607425e-06,-,14
age_sq,284,0.10952508912009906,0.05017113644257974,0.18381513802717178,-0.33094574951205985,-0.33345422183118295,1.1007231004245201e-08,-,15
best_age,284,0.10890858252991362,0.047796704386222716,0.1894262121981166,-0.3300130035770009,-0.33345422183118295,1.216788176708421e-08,-,16
consensus_rank,172,0.10821463731137695,0.009152025830118048,0.2742969016005198,-0.328959932683871,-0.469989283749706,1.0526410560576712e-05,-,17
best_rec_rate,284,0.06726404728893788,0.02252696292268414,0.12245647053037433,0.2593531324062578,0.2764722988479512,9.53713999338656e-06,+,18
early_declare,284,0.06402359563094727,0.025924981229773044,0.12700728236099917,0.25302884347628685,0.22539987395479388,1.5906487608646212e-05,+,19
best_rec_yards,282,0.06227484954201598,0.02085796622449992,0.12551143861980696,0.2495492928100899,0.24690532923830047,2.242253468685334e-05,+,20
rec_rate_sq,284,0.06044330629237539,0.019566022081103984,0.12774532753862725,0.24585220416415915,0.2764722988479512,2.797178873258626e-05,+,21
best_rec_tds,284,0.0589273912922246,0.01641091713885582,0.1257369112480351,0.24274964735757001,0.22137392641547557,3.5516909861456546e-05,+,22
dominator_x_rate,284,0.05485589689006439,0.014064029060236525,0.11026899522559656,0.23421335762518838,0.2603302793292045,6.742438493418606e-05,+,23
career_total_tds,284,0.05265805180709689,0.016167719275265172,0.09979374312074381,0.22947342287745848,0.27948070039236694,9.528348117855581e-05,+,24
recruit_rating,18,0.05095731796138271,0.00035866106435087573,0.3076688355106921,0.22573727641083718,0.2756840842347182,0.3677633783048362,+,25
