feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
year2_ppg,81,0.8773802587534034,0.8308207013568881,0.914789556903327,0.9366857844300849,0.9306172686308477,9.496152393463326e-38,+,1
year3_ppg,82,0.7927710860527611,0.7017075287361071,0.8751213325025704,0.890376934816239,0.8931274862589458,4.5300625053035944e-29,+,2
qualifying_nfl_seasons,147,0.5945655939396618,0.4985450107670824,0.6846616795773164,0.771080795986816,0.7755646075800803,3.203751870668077e-30,+,3
year1_ppg,95,0.4663649764179877,0.2599670713723831,0.6655336797679641,0.6829092007126479,0.6553751399776035,2.4771021979531256e-14,+,4
draft_capital_score,147,0.4061424231561387,0.274527624946197,0.5276792784443213,0.6372930433922362,0.6022517743152124,4.017131905571782e-18,+,5
overall_pick,147,0.35437794719439125,0.22915877282943153,0.48788996520569666,-0.5952965203949971,-0.6043313921803963,1.8364429140859695e-15,-,6
draft_round,147,0.3456207939251279,0.20832251185993275,0.4761228816366382,-0.5878952235944156,-0.5920578123721524,4.936497218534885e-15,-,7
consensus_rank,120,0.30933235445535345,0.17351012204768293,0.43744209544380824,-0.556176549717222,-0.6044237171850345,4.2560101196140724e-11,-,8
position_rank,120,0.28289012557710475,0.16887458494025082,0.4035123891489679,-0.5318741632915672,-0.6106569914431542,4.074603127947491e-10,-,9
best_receiving_grade,119,0.1493208553249581,0.04973753236713686,0.2850669541184517,0.38642056793726454,0.3555699798679535,1.4202981893657477e-05,+,10
best_total_yards_rate,145,0.11772033992483452,0.02755589334504102,0.238016559194861,0.3431039782993408,0.30286342966882485,2.3922703822563672e-05,+,11
college_fantasy_ppg,147,0.11585859547519499,0.03983053221771231,0.21702035259019575,0.3403800750267192,0.35352919403813415,2.461300589312805e-05,+,12
career_total_tds,147,0.09973508657117144,0.029570987407286198,0.20598219895290412,0.3158086233325041,0.3350297184731209,9.759766764446197e-05,+,13
career_rush_tds,147,0.09689077389497276,0.029218110503981758,0.20254696732844957,0.3112728287129681,0.3373301238408666,0.00012426911426318955,+,14
yprr_above_2_2,147,0.09349014514300634,0.015191246563236427,0.20015061631553893,0.30576158218946725,0.27173429667010235,0.00016580505267784938,+,15
best_total_yards_rate_v2,145,0.09335000746891418,0.018967109859025083,0.20354736946612212,0.3055323345718325,0.266172149819033,0.00018621446812128582,+,16
yprr_tier3,119,0.08982471449809544,0.0162040834880828,0.21179678704884858,0.29970771511273353,0.2592418359080939,0.0009283762679062349,+,17
best_ppa_pass,130,0.08713739100688203,0.02286438777806408,0.17987964311770488,0.2951904317671595,0.2864077202642923,0.0006508534129955691,+,18
yprr_x_age28,119,0.08573018507368751,0.015533648352776356,0.21970386991103252,0.2927971739509921,0.32952334649862747,0.0012316359160567487,+,19
yprr_x_sos_x_age28,119,0.08573018507368751,0.020417342042255898,0.2089711206819986,0.2927971739509921,0.32952334649862747,0.0012316359160567487,+,20
bs_pff_28,119,0.08573018507368751,0.010701586797128333,0.20868495310077712,0.2927971739509921,0.32952334649862747,0.0012316359160567487,+,21
yprr_x_sos_x_age27,119,0.08522466494556691,0.014743471524262548,0.20895142676956593,0.29193263768473526,0.32911886526209067,0.001275346776776034,+,22
bs_pff_27,119,0.08522466494556691,0.01705770770918556,0.22240379593056964,0.29193263768473526,0.32911886526209067,0.001275346776776034,+,23
yprr_x_age27,119,0.08522466494556691,0.010751862688304484,0.20429009413280327,0.29193263768473526,0.32911886526209067,0.001275346776776034,+,24
bs_pff_26,119,0.08415710486089312,0.017256196594387322,0.2095025353434362,0.2900984399490854,0.3222963764405047,0.0013727995521866105,+,25
yprr_x_sos_x_age26,119,0.08415710486089312,0.018639239465570615,0.21030136563646826,0.2900984399490854,0.3222963764405047,0.0013727995521866105,+,26
yprr_x_age26,119,0.08415710486089312,0.015867331649194433,0.2055072421966173,0.2900984399490854,0.3222963764405047,0.0013727995521866105,+,27
career_rush_yards,147,0.08247406435934945,0.016886805033803663,0.18637122823005509,0.2871829806227198,0.28426886031117965,0.000420654835624641,+,28
bs_pff_25,119,0.0820053759273012,0.015292255459284972,0.20191193230877152,0.28636580788792015,0.3136376143946408,0.001592348554415529,+,31
yprr_x_age25,119,0.0820053759273012,0.01583225549236417,0.19972956180723941,0.28636580788792015,0.3136376143946408,0.001592348554415529,+,30
yprr_x_sos_x_age25,119,0.0820053759273012,0.01824113030688459,0.19240634497205045,0.28636580788792015,0.3136376143946408,0.001592348554415529,+,29
yprr_x_sos,119,0.08116914410166269,0.014155736936677286,0.19596455903437715,0.284901990343456,0.31709085224104394,0.0016868263259517762,+,32
best_yprr,119,0.08116914410166269,0.01869114115756259,0.20282170891077397,0.284901990343456,0.31709085224104394,0.0016868263259517762,+,33
yprr_above_2_0,147,0.08113026712159573,0.016905125464778445,0.1795777872091717,0.28483375348015855,0.2547943424724064,0.00047111743643697885,+,34
yprr_x_age24,119,0.07752988166567785,0.012590122512154163,0.2047732501663425,0.2784418820250967,0.31787571867835424,0.0021675569252446254,+,35
yprr_x_sos_x_age24,119,0.07752988166567785,0.01413743295358452,0.19258367366133464,0.2784418820250967,0.31787571867835424,0.0021675569252446254,+,36
bs_pff_24,119,0.07752988166567785,0.011437507191162998,0.1780395384649298,0.2784418820250967,0.31787571867835424,0.0021675569252446254,+,37
three_cone,54,0.07519051582440248,0.0003407826371416669,0.2784303409938296,-0.2742088908558628,-0.05125860972290212,0.04480214458542969,-,38
best_rush_tds,147,0.07080160787201266,0.011141901551607932,0.16011315046289287,0.26608571527237734,0.27898352362017637,0.0011239511831511474,+,39
best_usage_pass,131,0.06817034403154154,0.0067665935533824965,0.18854413633886422,0.2610945116840673,0.24301436166162158,0.0025940383787172844,+,40
recruit_rating,135,0.06758233871122489,0.010650661832818657,0.15832120368310124,0.25996603376446104,0.241145015348954,0.0023269847463815952,+,41
best_rush_ypc,147,0.0645196080995385,0.02322535985381523,0.1284327360004104,0.2540071024588456,0.2995542342780787,0.001906254415556615,+,42
best_ppa_overall,131,0.061458743643061226,0.011268173842370697,0.12634022384744806,0.24790874055398132,0.334758987428282,0.0043042478815078986,+,43
yprr_above_1_5,147,0.057103062023091296,0.009474049314153831,0.15225514455136005,0.2389624699049859,0.2215408015422095,0.0035582083911377418,+,44
best_breakout_score,145,0.056518354344905014,0.0038701013874707264,0.16178644421812102,0.23773589199972522,0.20759123096539378,0.003985061173259866,+,45
bs_tier3,145,0.054937941901300066,0.005062060016314355,0.1417643947897282,0.23438844233728776,0.2069568037475995,0.0045450938325448925,+,46
best_usage,131,0.05352401035578135,0.003365278137657247,0.16106574693423653,0.23135256721242872,0.2066949367937806,0.007843238894281854,+,47
recruit_stars,135,0.053437104519066206,0.0076769686867239695,0.12619012488511486,0.2311646697033658,0.21171292906069406,0.006985109770020223,+,48
best_targets,119,0.05156571823525798,0.004774848922321875,0.13642045750392456,0.22708086276755685,0.21608487266118187,0.013008105137550473,+,49
early_declare,147,0.04553291934324428,0.0030990690162487145,0.13863192594141455,0.21338444025571376,0.2127661534312247,0.009458493470686558,+,50
career_rush_attempts,147,0.0416240299592007,0.0026095435784604095,0.11984751343647976,0.20401968032324896,0.22106716188334705,0.013189244297434132,+,51
yprr_above_1_8,147,0.04108930770536404,0.001437376049858588,0.12946379346448988,0.20270497701182386,0.16791637797737635,0.013804733183968437,+,52
best_contested_catch_rate,52,0.04068266216644691,0.0003089109065279017,0.24072602728089965,0.20169943521598396,0.21254190406231568,0.15159995348728014,+,53
recruit_rank_national,135,0.03903237447103855,0.0027306714184469057,0.11626741163305497,-0.19756612683109054,-0.23636766168412984,0.02162716989448858,-,54
best_rec_yards,147,0.03820397338235125,0.001959383160190938,0.1178281113860848,0.1954583673889436,0.17022822240588992,0.01766784041564044,+,55
bs_above_2_2,147,0.03744040907472157,0.00043679410743392423,0.13855749554569982,0.19349524302866355,0.15265705744584585,0.018863638392845657,+,56
best_dominator,146,0.0344696748178384,0.00021311172242432236,0.125966822836469,0.18566010561733073,0.1536980709586068,0.024858139407973143,+,57
best_reception_share,146,0.03303504850270962,0.00018204433230979505,0.1267989784396972,0.18175546347416802,0.13967527456335993,0.028120316305298324,+,58
best_catch_rate,119,0.03195638914060843,0.0003246077322190591,0.12228722060673984,0.17876350058277676,0.1764128385358923,0.05175155861387079,+,59
best_td_rate,119,0.031737428305330814,0.00034128995899780016,0.1313434562581687,0.1781500162933779,0.17695100416897647,0.05257322437843,+,60
rec_rate_x_sos_x_age28,146,0.030225242689585832,0.00037478818006850164,0.1364428475141407,0.17385408447771894,0.19436481471234143,0.035848684037346944,+,61
rec_rate_x_age28,146,0.030225242689585832,0.00046914638487861887,0.14188265544466955,0.17385408447771894,0.19436481471234143,0.035848684037346944,+,62
speed_score,110,0.030224413422415396,0.00018320067977745927,0.14563279446166766,0.17385169950971258,0.10332284101452162,0.06930885754152094,+,63
best_zone_yprr,76,0.03020946474202408,6.90759366662945e-05,0.15823426789240727,0.17380870157165343,0.1335146824086039,0.13320783644110012,+,64
rec_rate_x_sos_x_age27,146,0.030194061680266077,0.0005201813201705486,0.13268075813995794,0.1737643855347409,0.19738616007159426,0.0359457982204732,+,65
rec_rate_x_age27,146,0.030194061680266077,0.0005816242023059941,0.13975033311421936,0.1737643855347409,0.19738616007159426,0.0359457982204732,+,66
rec_rate_x_age26,146,0.03000685406289072,0.0002089153150992952,0.13032105083889595,0.17322486560217248,0.19746372991393704,0.03653461377395331,+,67
rec_rate_x_sos_x_age26,146,0.03000685406289072,0.00042776052432823335,0.12871143301486052,0.17322486560217248,0.19746372991393704,0.03653461377395331,+,68
rec_rate_x_sos_x_age25,146,0.029483490834505417,0.00021255727638808765,0.13013611172774986,0.17170757360846206,0.19768868245673127,0.03823429519999002,+,69
rec_rate_x_age25,146,0.029483490834505417,0.00016049214094636591,0.14774426408205907,0.17170757360846206,0.19768868245673127,0.03823429519999002,+,70
rec_rate_x_age24,146,0.02810995925047184,0.0002917729110632914,0.1281311398277094,0.16766024946442087,0.1992400793035876,0.043096370290147464,+,71
rec_rate_x_sos_x_age24,146,0.02810995925047184,0.00014934261879428047,0.1167280649430642,0.16766024946442087,0.1992400793035876,0.043096370290147464,+,72
rec_rate_x_sos,146,0.027857622741440415,0.00044939584462406524,0.11959169332426985,0.16690602967370716,0.1699690992955251,0.04405730377902552,+,73
best_rec_rate,146,0.027857622741440415,0.0001856717307790829,0.12423306845626556,0.16690602967370716,0.1699690992955251,0.04405730377902552,+,74
best_ppa_rush,131,0.027819667733657127,0.0011160167758781812,0.09115599378749474,0.16679228919124867,0.20417925515870258,0.056898588745425874,+,75
teammate_score,147,0.02769876088064373,0.0004626790531567266,0.08610033419800893,0.16642944715597577,0.23133700517481523,0.04393637547678783,+,76
best_rec_tds,147,0.027196547326036463,0.0006644619919121131,0.12133535666501274,0.16491375723703727,0.14254273864770006,0.045923845906921924,+,77
bs_above_2_5,147,0.026484043252204187,9.82699965426721e-06,0.14751871616692563,0.16273918781966495,0.1014845571241263,0.048905704443048446,+,78
best_ypt,119,0.024043887665636157,0.00041075861872012635,0.0877034876202425,0.155060915983481,0.1806278999952007,0.09220851398167884,+,79
best_usage_rush,131,0.02390208921898369,0.00011097427544700455,0.10165891402856894,0.1546030052068319,0.14703924031169985,0.07787181267346556,+,80
weight_lbs,118,0.02361937738489451,0.00010347832742256732,0.10803635641059399,0.15368597003270829,0.13854642845190535,0.0965986219233516,+,81
best_receptions,147,0.0227426417977202,0.00021375285930528605,0.09152227155451109,0.15080663711428685,0.13311893973882194,0.06826307484670095,+,82
shuttle,60,0.02229989654616824,0.00014391558479671072,0.1397234363452637,-0.14933149884122987,-0.15591836596939576,0.2547935533931516,-,83
best_drop_rate,119,0.020876069047112835,0.0001368103556685858,0.09257175724876889,-0.1444855323107225,-0.08940502188342406,0.11693888915976265,-,84
yprr_above_2_5,147,0.01684452394543582,3.716952637386329e-05,0.11046349336599584,0.129786455169389,0.09126088346757652,0.11716656493971564,+,85
vertical_jump,109,0.016293381050476407,4.570929886497508e-05,0.10300249091835913,0.12764552890907072,0.13453259666262962,0.18593110455726056,+,86
career_rec_tds,147,0.012890702540800101,1.670209491029058e-05,0.07895018286254361,0.11353722975658734,0.15576680220982997,0.17092237691818,+,87
