feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
year3_ppg,53,0.821634368153972,0.6820879049520703,0.9138805406915876,0.9064404934434317,0.8619577487502015,9.893732582604222e-21,+,1
year2_ppg,52,0.7909270717040016,0.6737119803585035,0.8887658418950833,0.8893408073983795,0.8760351745923333,1.2778475978089826e-18,+,2
qualifying_nfl_seasons,97,0.7013332640350112,0.5895987602696712,0.7926712302679836,0.8374564251559666,0.8537271038340801,1.1440952119562288e-26,+,3
overall_pick,97,0.3508257103228312,0.20891782281897442,0.4879438899629566,-0.5923054197986299,-0.5975213297288376,1.654328876321466e-10,-,4
draft_round,97,0.3493913942177682,0.2130244187009781,0.5156323548358015,-0.5910933887447636,-0.6006643473342512,1.8407370898764896e-10,-,5
consensus_rank,78,0.33942256894843653,0.21534095104594703,0.48252487631234947,-0.582599836035367,-0.6268548982755205,2.19578511429586e-08,-,6
position_rank,78,0.3209604726854524,0.19370059273108228,0.46126328365120406,-0.5665337348167825,-0.6311092817757715,6.423955431493436e-08,-,7
draft_capital_score,97,0.30362873878249896,0.16189793408419859,0.4563231093416168,0.5510251707340591,0.5990244131356464,4.9655830091871574e-09,+,8
year1_ppg,47,0.2963697549236287,0.14752530136981204,0.47924095400163874,0.5443985258279349,0.554463459759482,7.629411545167201e-05,+,9
forty_time,70,0.27514326989280014,0.10499532616482303,0.47421612768732985,-0.5245410087808199,-0.4765093102983906,3.1464085888253712e-06,-,10
speed_score,70,0.2415235592709433,0.07363890897482077,0.42203963749232687,0.4914504647173948,0.46179069526631017,1.559284123476333e-05,+,11
bs_above_2_5,97,0.23481785324091015,0.09842106579780058,0.4164091964804645,0.48458007928608676,0.49927878494423744,4.918686739914145e-07,+,12
best_ppa_rush,37,0.22744523529151883,0.01618205629144841,0.4937405968650421,0.4769121882396369,0.3322267107876116,0.002841554213240298,+,13
best_rush_ypc,19,0.2049832577811509,0.004989045454681547,0.5655282184453415,0.45275076784159174,-0.12142572272861919,0.05159384269823589,+,14
broad_jump,56,0.18668721232500382,0.04772002605318662,0.361355875648455,0.43207315621894843,0.43612049120759083,0.00088330383555346,+,15
rec_rate_x_age26,97,0.16899226719239166,0.06392416545806358,0.30511275337992866,0.41108669060478187,0.42957668223285844,2.880414025824639e-05,+,17
rec_rate_x_sos_x_age26,97,0.16899226719239166,0.0654049247773954,0.3076775069368761,0.41108669060478187,0.42957668223285844,2.880414025824639e-05,+,16
rec_rate_x_age25,97,0.16893619843025415,0.061846623879887555,0.31777359505502617,0.41101848915864375,0.4290466759933091,2.8900916682504824e-05,+,18
rec_rate_x_sos_x_age25,97,0.16893619843025415,0.06594163793876029,0.3156553949832839,0.41101848915864375,0.4290466759933091,2.8900916682504824e-05,+,19
rec_rate_x_sos_x_age27,97,0.16737597619768876,0.05170348210553485,0.3081126717433219,0.4091160913453402,0.42069907772040455,3.1726156741083424e-05,+,20
rec_rate_x_age27,97,0.16737597619768876,0.07148963559453805,0.2969536195622652,0.4091160913453402,0.42069907772040455,3.1726156741083424e-05,+,21
best_breakout_score,97,0.16690051210454465,0.05946625675909343,0.30547754248445297,0.4085345910746661,0.426926651035111,3.263998284325514e-05,+,22
rec_rate_x_age24,97,0.16682071751735905,0.0679903015283702,0.3033571932760516,0.4084369198754675,0.42073220311037635,3.279586534190858e-05,+,23
rec_rate_x_sos_x_age24,97,0.16682071751735905,0.06291373184762594,0.3278628522478517,0.4084369198754675,0.42073220311037635,3.279586534190858e-05,+,24
rec_rate_x_sos_x_age28,97,0.16496603337965265,0.05259153659158662,0.2980392858399171,0.40616010806042074,0.40804517875116036,3.663293209049654e-05,+,25
rec_rate_x_age28,97,0.16496603337965265,0.058718841363125863,0.321661261893961,0.40616010806042074,0.40804517875116036,3.663293209049654e-05,+,26
bs_pff_27,77,0.15982522023663787,0.04856964320315574,0.2917547818240401,0.3997814655991919,0.3793700711649505,0.00031561331879344316,+,27
yprr_x_sos_x_age27,77,0.15982522023663787,0.05540391876411599,0.2994886810499264,0.3997814655991919,0.3793700711649505,0.00031561331879344316,+,28
yprr_x_age27,77,0.15982522023663787,0.0639390484933632,0.30068454824647023,0.3997814655991919,0.3793700711649505,0.00031561331879344316,+,29
yprr_x_age28,77,0.1596941621490728,0.0587699132973144,0.27725809322896205,0.3996175198224833,0.367991753932821,0.00031757872429602187,+,32
yprr_x_sos_x_age28,77,0.1596941621490728,0.06605920614839186,0.27922137240366723,0.3996175198224833,0.367991753932821,0.00031757872429602187,+,30
bs_pff_28,77,0.1596941621490728,0.06364166026663252,0.28771352441917736,0.3996175198224833,0.367991753932821,0.00031757872429602187,+,31
bs_pff_26,77,0.15810391951497196,0.05172756251017872,0.28500934345617707,0.3976228357564137,0.38104101285638203,0.0003424072078579106,+,33
yprr_x_age26,77,0.15810391951497196,0.04864202666753119,0.29020122633208123,0.3976228357564137,0.38104101285638203,0.0003424072078579106,+,34
yprr_x_sos_x_age26,77,0.15810391951497196,0.05564764979028536,0.28556268658808115,0.3976228357564137,0.38104101285638203,0.0003424072078579106,+,35
yprr_above_2_2,97,0.15681398640014932,0.040428246751613175,0.3063057648096913,0.39599745756778454,0.39080027853778876,5.945022314238986e-05,+,36
best_total_yards_rate,97,0.15611519065715,0.05586198793040786,0.2919957155968171,0.3951141488951642,0.39272799842817996,6.195982724792914e-05,+,37
yprr_x_age25,77,0.15380149330929588,0.05190500693689392,0.2988456457480073,0.3921753349068448,0.38928962977757614,0.00041955256561548523,+,38
yprr_x_sos_x_age25,77,0.15380149330929588,0.05060119301155752,0.3010926967679722,0.3921753349068448,0.38928962977757614,0.00041955256561548523,+,39
bs_pff_25,77,0.15380149330929588,0.055265928299557204,0.30536394843098214,0.3921753349068448,0.38928962977757614,0.00041955256561548523,+,40
three_cone,54,0.15202740278935437,0.02164267149976933,0.36793720410069397,-0.3899069155444083,-0.40138143890179645,0.003562723746124365,-,41
bs_pff_24,77,0.14921996317498823,0.04001773627898563,0.304172855188481,0.38628999880269776,0.39862568494240036,0.000520519110592014,+,42
yprr_x_age24,77,0.14921996317498823,0.042057284266796925,0.2904857499023189,0.38628999880269776,0.39862568494240036,0.000520519110592014,+,43
yprr_x_sos_x_age24,77,0.14921996317498823,0.043842533630063886,0.27848031791224914,0.38628999880269776,0.39862568494240036,0.000520519110592014,+,44
bs_tier3,97,0.1490185822869338,0.04478848027339273,0.30853569988390467,0.3860292505587288,0.40878781109354456,9.416233650324169e-05,+,45
shuttle,56,0.14633460470987497,0.021786527851171297,0.34902843017986596,-0.38253706318456904,-0.32057000897665944,0.003618529337392093,-,46
bs_above_2_2,97,0.1405885673766301,0.03490196876153349,0.3149645036352732,0.3749514200221545,0.39726845831708546,0.00015433112579839602,+,47
best_total_yards_rate_v2,97,0.13058898177505082,0.030817962444344177,0.26692395212863573,0.36137097528032164,0.3673804500217255,0.00027620090032949476,+,48
