feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
year2_ppg,133,0.857586239333997,0.8129607046991042,0.8973830539572542,0.9260595225653678,0.9147515771520395,2.7098743184214196e-57,+,1
year3_ppg,114,0.8217383702737792,0.750778288809452,0.8750954268636938,0.9064978600492001,0.907786022105103,9.49321096407193e-44,+,2
year1_ppg,129,0.7490677676782409,0.6430018598333622,0.8246701260450721,0.8654870118483817,0.852414614307397,6.062288987040438e-40,+,3
qualifying_nfl_seasons,224,0.6972441153886643,0.637428538111244,0.7550931440738449,0.8350114462620642,0.8779431156456251,1.6107274245040356e-59,+,4
overall_pick,224,0.30707817163401463,0.21690040867322277,0.3918192401051149,-0.554146344961342,-0.5685468492023807,1.9784727418841938e-19,-,5
draft_round,224,0.29716936582613607,0.2097441685575568,0.38890940666523605,-0.5451324296225056,-0.55335943379486,9.721356287951807e-19,-,6
draft_capital_score,224,0.28994604816289143,0.18983131306988268,0.4099135332441486,0.5384663853602112,0.5680584361490743,3.060763032683253e-18,+,7
breakout_age,192,0.13813600861164288,0.06649650065670072,0.23931825033367565,-0.3716665287749798,-0.38977644005258344,1.1101756016907668e-07,-,8
rec_rate_x_age24,222,0.13262351676447268,0.06095841284536139,0.21932610011191125,0.36417511826657334,0.36953969495820044,2.2897730808916793e-08,+,9
rec_rate_x_sos_x_age24,222,0.13262351676447268,0.06435357559136112,0.22702014642499965,0.36417511826657334,0.36953969495820044,2.2897730808916793e-08,+,10
best_total_yards_rate,222,0.12639561664540352,0.06362343973656225,0.21712223185946264,0.3555216120651507,0.3890533693798396,5.1450274637698616e-08,+,11
yprr_x_age24,182,0.12538437700389043,0.04231103081451572,0.22986832715976904,0.3540965645186217,0.31525548749302956,9.393475584826399e-07,+,12
yprr_x_sos_x_age24,182,0.12538437700389043,0.03776932884851643,0.2520537212977189,0.3540965645186217,0.31525548749302956,9.393475584826399e-07,+,13
bs_pff_24,182,0.12538437700389043,0.040942770516272986,0.2383008522621281,0.3540965645186217,0.31525548749302956,9.393475584826399e-07,+,14
early_declare,224,0.12310370230852387,0.05754461250479515,0.21739660610284006,0.3508613719241887,0.32796484969387074,6.879087386551064e-08,+,15
best_breakout_score,222,0.12229606917658216,0.048395180611416316,0.21829340137344122,0.34970854890405834,0.36855884245551557,8.744836809114838e-08,+,16
rec_rate_x_age25,222,0.12221897705405571,0.05257137642613602,0.2080716773822402,0.34959830813957854,0.3598040864058642,8.832338708568011e-08,+,17
rec_rate_x_sos_x_age25,222,0.12221897705405571,0.05340112065477365,0.21696412922602357,0.34959830813957854,0.3598040864058642,8.832338708568011e-08,+,18
yprr_x_age25,182,0.11829290418613206,0.036215320349678094,0.2235322634516057,0.34393735503159883,0.30937676416549625,1.9959192500331355e-06,+,19
yprr_x_sos_x_age25,182,0.11829290418613206,0.0330899640891752,0.22648315703530095,0.34393735503159883,0.30937676416549625,1.9959192500331355e-06,+,20
bs_pff_25,182,0.11829290418613206,0.03715535319626157,0.2123535275765825,0.34393735503159883,0.30937676416549625,1.9959192500331355e-06,+,21
position_rank,174,0.11508772994362997,0.018232404829199893,0.267241895898104,-0.3392458252412695,-0.4744424760745926,4.666626980131379e-06,-,22
bs_tier3,222,0.11397777542476725,0.042005798693768324,0.20109630033854678,0.33760594696297525,0.3574062699598777,2.550710846004462e-07,+,23
consensus_rank,174,0.11218467735276365,0.011354806392286289,0.2772726182199132,-0.33493981153748154,-0.4758056753669534,6.257673161057419e-06,-,24
rec_rate_x_age26,222,0.11160264794985406,0.04337987967689267,0.197756565221428,0.33406982496157006,0.34927708125862167,3.457885869419756e-07,+,25
rec_rate_x_sos_x_age26,222,0.11160264794985406,0.044205729440723485,0.19180251812449456,0.33406982496157006,0.34927708125862167,3.457885869419756e-07,+,26
yprr_x_age26,182,0.10979490093250582,0.03800512289448166,0.22423587126316893,0.3313531362949592,0.29270255706583137,4.897133569491833e-06,+,27
bs_pff_26,182,0.10979490093250582,0.03574756677601963,0.21826318146644375,0.3313531362949592,0.29270255706583137,4.897133569491833e-06,+,28
yprr_x_sos_x_age26,182,0.10979490093250582,0.03654219020468929,0.21349134576700665,0.3313531362949592,0.29270255706583137,4.897133569491833e-06,+,29
best_total_yards_rate_v2,222,0.10819909500917815,0.04610251834463207,0.19357615118329005,0.3289363084385458,0.3410564276767375,5.342396964590293e-07,+,30
rec_rate_x_sos_x_age27,222,0.10216563117981838,0.030744646227187693,0.19014144238430358,0.3196335889418044,0.33469851162706626,1.151869163491142e-06,+,31
rec_rate_x_age27,222,0.10216563117981838,0.03767120176949293,0.19971905948483273,0.3196335889418044,0.33469851162706626,1.151869163491142e-06,+,32
bs_pff_27,182,0.10139995600356495,0.02406457045371772,0.22245484886575692,0.31843359747923106,0.2825811121486968,1.181957255479632e-05,+,33
yprr_x_sos_x_age27,182,0.10139995600356495,0.028332478458120876,0.2098827501396039,0.31843359747923106,0.2825811121486968,1.181957255479632e-05,+,34
yprr_x_age27,182,0.10139995600356495,0.030408642073891455,0.21347967916815536,0.31843359747923106,0.2825811121486968,1.181957255479632e-05,+,35
rec_rate_x_sos_x_age28,222,0.09416328091556526,0.033647812639854474,0.1830217904835189,0.3068603606130405,0.3250394229899454,3.174344674188757e-06,+,36
rec_rate_x_age28,222,0.09416328091556526,0.027164130780546022,0.1758411767429274,0.3068603606130405,0.3250394229899454,3.174344674188757e-06,+,37
yprr_x_age28,182,0.09375312819592208,0.019238311172447956,0.19399593703060342,0.3061913261278348,0.2711733397942644,2.6258812341203414e-05,+,38
yprr_x_sos_x_age28,182,0.09375312819592208,0.02557385235761762,0.18933994125116693,0.3061913261278348,0.2711733397942644,2.6258812341203414e-05,+,39
bs_pff_28,182,0.09375312819592208,0.023249772480135083,0.1957620649899309,0.3061913261278348,0.2711733397942644,2.6258812341203414e-05,+,40
best_age,223,0.09058962892294303,0.024350410070390308,0.1766887452373157,-0.3009811105749712,-0.2969603647661339,4.741791366080939e-06,-,41
best_slot_yprr,192,0.06260643941631819,0.007554232218708847,0.14231408701794823,0.2502127882749365,0.18063311455782394,0.0004648138707890071,+,42
age_at_draft,193,0.05243708487622022,0.007079451942619562,0.16332966330876494,-0.22899145153524886,-0.35388168832332584,0.001358825896955776,-,43
best_rec_yards,224,0.04086127817236585,0.007153094209999101,0.1104845960427702,0.20214172793455054,0.20424516970967746,0.002366583878099739,+,44
career_seasons,224,0.040085071198618975,0.007462534381309729,0.10910940250536415,-0.20021256503681026,-0.18935053941542399,0.0026100578337392498,-,45
best_reception_share,223,0.03962277710081022,0.006404046406450704,0.10421213359102738,0.19905470881345716,0.21850220333384568,0.00282882040872626,+,46
best_receiving_grade,182,0.03803849774693038,0.0023488023482761402,0.10999514331182399,0.1950346065367128,0.20781417113378595,0.008329373647802098,+,47
best_dominator,223,0.03740440999653492,0.004417833402844169,0.10253956042546357,0.1934021974966544,0.21518049400386946,0.003739924614072909,+,48
best_rec_tds,224,0.035408077781940446,0.0026141761276817664,0.09843318695428327,0.18817034246113398,0.1945125606948159,0.004716176057312145,+,49
best_rec_rate,223,0.03439982118434657,0.002574030726020118,0.10032598831578088,0.1854718878545926,0.21495207280310924,0.00546497106752487,+,50
rec_rate_x_sos,223,0.03439982118434657,0.0030111506812208347,0.09476456616793764,0.1854718878545926,0.21495207280310924,0.00546497106752487,+,51
best_games,224,0.03023720518256034,0.0037137478855607526,0.07633819828978261,0.1738884849050113,0.1659491449485724,0.00911097075792185,+,52
bs_above_2_5,224,0.029755757647681416,0.0009855487481743406,0.08587874967062559,0.17249857288592685,0.20133379050621777,0.00969006354276502,+,53
best_man_zone_delta,113,0.028514456733480426,0.00011517213029989289,0.11355593955745122,-0.1688622418821935,-0.17642260537045956,0.07378656320711816,-,54
vertical_jump,158,0.02733787492285597,0.0007748669219230794,0.09595133211806856,0.16534169142371796,0.20731431376404943,0.037882675684831495,+,55
career_rec_tds,224,0.026196356517592324,0.0014009566092500723,0.07861194099499658,0.16185288541633208,0.21959805479516836,0.0153147493134334,+,56
recruit_stars,193,0.02527307186171475,0.0009743754351162075,0.08467404662255205,0.1589750667926098,0.13204429444022062,0.027225589177706233,+,57
speed_score,162,0.025103719522258233,0.0002744709608898192,0.07468963825343591,0.15844153345085446,0.14104277162511433,0.04403535675386388,+,58
best_yprr,182,0.0248791304303794,0.0007044646645340367,0.08997318059913413,0.15773119675694913,0.14895128380236905,0.033455054201403815,+,60
yprr_x_sos,182,0.0248791304303794,0.0004666666023450083,0.09540032317476155,0.15773119675694913,0.14895128380236905,0.033455054201403815,+,59
career_total_tds,224,0.024657679212953282,0.0009091394528685394,0.07397220201116148,0.15702763837284595,0.22090550275301918,0.01869118325173939,+,61
college_fantasy_ppg,224,0.02459361820944096,0.0011081244470211823,0.07860166163814991,0.15682352568872107,0.17423743209412018,0.018847262501384483,+,62
best_receptions,224,0.023454888103272238,0.001436151091165391,0.07242431589003392,0.15314988770244736,0.17084265569711282,0.0218562614347849,+,63
teammate_score,224,0.022341786377149533,0.0003345949474707312,0.07207609500264231,0.1494716908887751,0.10080870683476696,0.025276268059153173,+,64
career_rec_yards,224,0.020838938666672056,0.0012399940457734002,0.0597944848672747,0.1443569834357592,0.16910254415718332,0.03079008380271603,+,65
recruit_rating,193,0.02067535194544957,0.00028159997589294214,0.07157733406382182,0.14378926227451608,0.15358904524610162,0.04604430012282999,+,66
best_drop_rate,182,0.018955294985628847,0.00017464731492998752,0.06874418664621053,-0.1376782298899461,-0.14034619539295198,0.06382221411607389,-,67
best_ppa_pass,205,0.016502407498845212,0.00011352256854485894,0.06324586431499245,0.12846169662138676,0.0799389553925696,0.06640827155484405,+,68
best_usage_pass,205,0.015562243087698513,7.797681271934416e-05,0.06865185968005512,0.12474871978380585,0.1472494544624491,0.07472047393779667,+,69
best_contested_catch_rate,118,0.015537899008870164,0.00010436518855426479,0.08195278752535022,-0.12465110913614112,-0.14576995924662262,0.17865909279159822,-,70
best_rec_td_pct,224,0.014089692340053273,0.0001620041920782003,0.0583334361619601,0.1187000098570058,0.14345747477900703,0.07624978497328426,+,71
yprr_above_1_5,224,0.013864786728266526,5.6267758668497954e-05,0.06723450350500482,-0.11774882898893953,-0.08923956750577001,0.07865122956912024,-,72
best_ppa_overall,205,0.013030050430364665,0.0001029289094052,0.05962735154770086,0.1141492462978388,0.05886097920258017,0.10316364339613188,+,73
forty_time,162,0.011423212408427382,0.00012442247580113431,0.058940600502881364,-0.10687942930436793,-0.11900490727847765,0.17583214483464982,-,74
recruit_rank_national,193,0.011136805695030033,7.0033892493384e-05,0.06639398156026256,-0.10553106507104926,-0.16354419658758126,0.14411360411451565,-,75
career_receptions,224,0.008211838889797282,6.929314790571075e-05,0.04297484710865093,0.09061919713723622,0.12186529586183029,0.17654869859859768,+,76
yprr_above_1_8,224,0.007999150543724867,1.2469186897371974e-05,0.05915567844511933,-0.08943797036899298,-0.07300242962424515,0.18227910238025874,-,77
best_usage,205,0.007766996711894853,2.886202021970583e-05,0.04459559306821822,0.08813056627467483,0.11419701235338175,0.2089099804733459,+,78
three_cone,109,0.007543154019995459,2.2362314547247546e-05,0.07659404790367508,0.08685133286251547,0.12048136959894735,0.3691860295611396,+,79
bs_above_2_2,224,0.007377967328859781,1.358093434037562e-05,0.04742865108330132,0.08589509490570332,0.11426563759292231,0.2002864168163327,+,80
best_zone_yprr,118,0.006905935799953215,2.1855897219449466e-05,0.08147624143208622,-0.08310196026540659,0.207287590964134,0.37097020437026546,-,81
best_catch_rate,182,0.006569726031485432,2.5577660402273458e-05,0.04524517717430426,0.08105384649407721,0.08402029152273842,0.2767130111273389,+,82
career_rec_per_target,193,0.006261989033778032,4.786810071798456e-05,0.03449097512104713,0.0791327304835239,0.0976447316030953,0.27398919065719934,+,83
yprr_tier3,182,0.0059292166953180585,5.872726415415002e-06,0.04796963931966401,0.07700140709959824,0.09491041571353075,0.30151812116248,+,84
